Valencia,Intensidade,Liking
5,2,1
5,2,1
5,2,1
5,5,2
5,2,1
5,2,1
2,5,2
5,2,1
5,2,1
5,6,3
5,6,3
9,7,3
5,2,1
5,2,1
5,1,1
5,5,2
5,1,1
7,5,2
5,1,1
5,5,2
