Valencia,Intensidade,Liking
5,1,1
5,5,2
5,1,1
5,3,1
5,1,1
5,1,1
5,1,1
5,1,1
5,9,3
5,1,1
6,5,2
5,1,1
5,1,1
5,1,1
6,9,3
5,1,1
5,1,1
5,1,1
5,1,1
6,5,2
